日期,代码,名称,收盘价,涨跌幅,开盘价,最高价,最低价,趋势,热度,热度排名,大单净额,量比,换手率,成交额,总市值,诊股综合评分,技术面评分,资金面评分,技术形态,买入信号,同花顺行业,最相关概念,所属概念数量
2026-05-19,002098.SZ,浔兴股份,8.38,0.23923444976078173,8.35,8.44,8.33,开,0,0,0,0,635.0,7558.00万,30.00万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600138.SH,中青旅,8.41,0.23837902264600205,8.39,8.45,8.37,开,0,0,0,0,1703.0,2.02亿,60.87万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,300112.SZ,万讯自控,8.54,0.2347417840375537,8.52,8.62,8.46,开,0,0,0,0,1880.0,2.20亿,20.29万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603277.SH,银都股份,12.84,0.234192037470721,12.77,12.96,12.73,开,0,0,0,0,629.0,4888.00万,78.29万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603098.SH,森特股份,13.31,0.2259036144578399,13.33,13.54,13.21,开,0,0,0,0,2793.0,2.08亿,71.71万,0,0,0,价升||阴线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603192.SH,汇得科技,22.3,0.2247191011235987,22.33,22.44,22.14,开,0,0,0,0,605.0,2710.00万,31.09万,0,0,0,价升||阴线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600052.SH,东望时代,4.47,0.22421524663676654,4.42,4.57,4.42,开,0,0,0,0,4806.0,10.65亿,37.74万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600066.SH,宇通客车,31.78,0.2207505518763806,31.71,32.07,31.53,开,0,0,0,0,12369.0,3.89亿,703.59万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002209.SZ,达 意 隆,13.62,0.22075055187637502,13.56,13.87,13.51,开,0,0,0,0,2888.0,2.11亿,21.29万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,000096.SZ,广聚能源,9.09,0.22050716648290597,9.05,9.14,9.04,开,0,0,0,0,1937.0,2.13亿,46.44万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600000.SH,浦发银行,9.1,0.22026431718061204,9.08,9.17,9.07,开,0,0,0,0,38435.0,42.20亿,3030.83万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,688197.SH,首药控股-U,41.39,0.21791767554480246,41.3,42.36,40.89,开,0,0,0,0,1991.0,47.69亿,26.49万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603006.SH,联明股份,14.02,0.21443888491779386,13.75,14.15,13.75,开,0,0,0,0,2385.0,1.70亿,35.65万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600094.SH,大名城,4.72,0.21231422505307404,4.67,4.79,4.66,开,0,0,0,0,4351.0,9.22亿,100.36万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,605005.SH,合兴股份,18.93,0.2117522498676503,19.0,19.0,18.86,开,0,0,0,0,555.0,2930.00万,75.91万,0,0,0,价升||阴线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,000030.SZ,富奥股份,4.76,0.2105263157894692,4.75,4.8,4.74,开,0,0,0,0,2040.0,4.28亿,79.54万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
