代码,名称,收盘价,涨跌幅,技术形态,买入信号,MA5,MA10,MA20,MA60,布林带上轨,布林线中轨,布林线下轨,布林带位置,MACD_DIF,MACD_DEA,MACD柱,MACD信号,多头排列
000572.SZ,海马汽车,4.9,1.24%,阳线||布林带下轨,观望,22.04,23.48,24.72,27.4,29.0,24.72,20.44,下轨下方,-1.59,-1.02,-1.14,无信号,否
000573.SZ,粤宏远Ａ,4.59,3.15%,阳线||布林带下轨,观望,36.49,38.52,40.89,39.6,51.57,40.89,30.22,下轨下方,-1.84,-0.12,-3.44,无信号,否
000576.SZ,甘化科工,8.2,1.36%,阳线||布林带下轨,观望,50.01,55.23,59.45,65.87,78.36,59.45,40.53,下轨下方,-5.28,-2.62,-5.31,无信号,否
000589.SZ,贵州轮胎,4.74,0.64%,阳线||布林带下轨,观望,29.47,31.5,32.3,32.48,39.24,32.3,25.36,下轨下方,-1.1,-0.03,-2.15,无信号,否
000590.SZ,古汉医药,10.44,2.45%,阳线||布林带下轨,观望,48.55,50.92,52.78,56.66,60.81,52.78,44.74,下轨下方,-2.59,-1.51,-2.17,无信号,否
000592.SZ,平潭发展,10.02,0.20%,阳线||布林带下轨,观望,64.0,70.24,71.1,73.78,84.0,71.1,58.2,下轨下方,-3.05,-1.02,-4.07,无信号,否
000595.SZ,*ST宝实,7.93,5.03%,阳线||布林带下轨,观望,39.33,39.84,38.37,36.65,47.08,38.37,29.65,下轨下方,0.35,1.12,-1.55,死叉,否
000598.SZ,兴蓉环境,6.58,0.46%,价升||布林带下轨,观望,198.12,209.91,218.0,224.58,265.53,218.0,170.47,下轨下方,-9.87,-2.96,-13.83,无信号,否
000599.SZ,青岛双星,5.55,1.83%,阳线||布林带下轨,观望,26.92,28.1,28.26,30.29,32.87,28.26,23.66,下轨下方,-0.8,-0.25,-1.11,死叉,否
000601.SZ,韶能股份,7.33,0.96%,阳线||布林带下轨,观望,75.49,82.81,80.97,77.38,104.55,80.97,57.38,下轨下方,-1.6,1.79,-6.79,无信号,否
000603.SZ,盛达资源,33.05,2.01%,阳线||布林带下轨,观望,122.06,137.44,145.71,163.46,185.78,145.71,105.64,下轨下方,-12.25,-6.25,-11.99,无信号,否
000605.SZ,渤海股份,6.8,2.87%,阳线||布林带下轨,观望,23.12,24.43,24.82,25.18,29.3,24.82,20.33,下轨下方,-0.76,-0.05,-1.42,无信号,否
000607.SZ,华媒控股,3.8,1.33%,价升||布林带下轨,观望,13.53,14.35,14.74,15.42,17.57,14.74,11.9,下轨下方,-0.66,-0.23,-0.86,无信号,否
