日期,代码,名称,市场板块,收盘价,涨跌幅,趋势,热度,热度排名,大单净额,量比,换手率,成交额,成交量(手),昨日成交量(手),成交量对比,量能状态,总市值,诊股综合评分,技术面评分,资金面评分,技术形态,买入信号,同花顺行业,最相关概念,所属概念数量
2026-05-22,603339.SH,四方科技,沪市主板,13.16,0.69%,开,119642,2219,0万元,0.56,1620.0,1.23亿,12302,44096,-72.10%,缩量,40.72万,5.6,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,002187.SZ,广百股份,深市主板,5.56,0.36%,开,119565,2220,0万元,0.69,1776.0,3.18亿,31834,91685,-65.28%,缩量,38.97万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,301131.SZ,聚赛龙,创业板,40.99,0.12%,开,119520,2221,0万元,0.56,1891.0,4628.00万,4628,16481,-71.92%,缩量,16.05万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,301185.SZ,鸥玛软件,创业板,16.77,0.12%,开,119507,2222,0万元,0.63,1891.0,1.12亿,11245,35968,-68.74%,缩量,23.25万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,301507.SZ,民生健康,创业板,13.65,0.59%,开,119477,2223,0万元,0.66,1653.0,1.22亿,12156,36843,-67.01%,缩量,15.02万,5.6,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,688285.SH,高铁电气,科创板,8.81,1.26%,开,119431,2224,0万元,0.92,1311.0,148.70亿,1486957,3226791,-53.92%,缩量,33.15万,5.6,6.1,4.1,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,002666.SZ,德联集团,深市主板,4.77,0.21%,开,119340,2225,0万元,0.57,1829.0,3.84亿,38411,134940,-71.53%,缩量,23.88万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,002233.SZ,塔牌集团,深市主板,8.26,0.12%,开,119306,2226,0万元,0.67,1870.0,2.27亿,22656,67726,-66.55%,缩量,96.91万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,301167.SZ,建研设计,创业板,16.49,0.18%,开,119291,2227,0万元,0.85,1838.0,1.11亿,11107,26145,-57.52%,缩量,11.70万,5.5,6.0,4.0,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,600603.SH,广汇物流,沪市主板,5.28,0.19%,开,119268,2228,0万元,0.5,1832.0,3.49亿,34914,140084,-75.08%,缩量,62.09万,5.5,6.0,4.0,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,605008.SH,长鸿高科,沪市主板,11.95,0.84%,开,119229,2229,0万元,0.76,1501.0,1.27亿,12691,33203,-61.78%,缩量,77.19万,5.6,6.0,4.1,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,300826.SZ,测绘股份,创业板,16.27,0.12%,开,119225,2230,0万元,0.45,1861.0,1.15亿,11483,50679,-77.34%,缩量,27.59万,5.5,6.0,4.0,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,600620.SH,天宸股份,沪市主板,5.07,0.80%,开,119146,2231,0万元,0.92,1517.0,2.99亿,29936,65423,-54.24%,缩量,34.81万,5.6,6.0,4.1,价升,行情收盘价上穿5日,未分类,未分类,10
